Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.144010	3.777527	6.414000	10.620000	
0.100000	3.575407	3.415964	13.804000	16.350000	
0.100000	3.115399	2.982709	22.006000	24.720000	
0.100000	2.689984	2.750678	30.258000	29.810000	
0.100000	2.340895	2.428389	37.498000	36.870000	
0.100000	2.085892	2.339115	43.046000	40.250000	
0.100000	1.883827	2.088513	47.864000	45.130000	
0.100000	1.733913	1.902862	51.394000	48.370000	
0.100000	1.608519	1.750456	54.430000	50.940000	
0.100000	1.499890	1.723753	57.162000	52.660000	
0.100000	1.404289	1.802251	59.424000	51.710000	
0.100000	1.333818	1.807655	61.348000	51.970000	
0.100000	1.270188	1.769224	63.176000	53.400000	
0.100000	1.211983	1.680705	64.486000	54.530000	
0.100000	1.161381	1.451674	65.762000	59.630000	
0.100000	1.119516	1.610356	66.978000	57.060000	
0.100000	1.080119	1.492090	67.932000	59.300000	
0.100000	1.047665	1.504969	68.772000	59.190000	
0.100000	1.011190	1.473377	70.166000	59.900000	
0.100000	0.980273	1.504470	70.716000	59.090000	
0.100000	0.951783	1.531340	71.532000	59.180000	
0.100000	0.936914	1.641646	71.938000	56.630000	
0.100000	0.916133	1.528888	72.250000	59.530000	
0.100000	0.896980	1.426121	72.934000	61.020000	
0.100000	0.871603	1.456847	73.302000	61.420000	
0.100000	0.860270	1.613143	73.874000	57.880000	
0.100000	0.830378	1.429866	74.700000	61.740000	
0.100000	0.813899	1.640416	75.130000	57.810000	
0.100000	0.806866	1.518276	75.280000	60.390000	
0.100000	0.788696	1.530509	75.832000	60.330000	
0.100000	0.776008	1.383627	76.008000	63.360000	
0.100000	0.759003	1.442350	76.676000	61.270000	
0.100000	0.755947	1.439015	76.652000	61.250000	
0.100000	0.744576	1.375184	77.042000	63.200000	
0.100000	0.726372	1.410315	77.420000	63.000000	
0.100000	0.720448	1.321486	77.654000	63.970000	
0.100000	0.703987	1.364855	78.148000	64.200000	
0.100000	0.696238	1.566639	78.326000	61.630000	
0.100000	0.685267	1.418439	78.782000	63.390000	
0.100000	0.682997	1.376248	78.692000	63.790000	
0.100000	0.661508	1.533770	79.454000	61.270000	
0.100000	0.661711	1.460731	79.346000	62.380000	
0.100000	0.650119	1.318844	79.648000	65.690000	
0.100000	0.636665	1.436430	80.140000	62.240000	
0.100000	0.625987	1.561753	80.254000	61.480000	
0.100000	0.630576	1.359184	79.930000	64.060000	
