Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.537027	4.163976	2.456000	5.390000	
0.100000	3.943791	3.723621	7.818000	11.880000	
0.100000	3.561050	3.497564	14.050000	16.580000	
0.100000	3.179939	3.372278	20.834000	23.900000	
0.100000	2.801244	2.818725	28.216000	30.340000	
0.100000	2.482357	2.478198	34.684000	37.520000	
0.100000	2.224840	2.404880	40.366000	38.770000	
0.100000	2.034350	2.316572	44.764000	41.310000	
0.100000	1.869238	2.011165	48.332000	46.980000	
0.100000	1.728579	1.874690	51.690000	48.980000	
0.100000	1.615651	1.844240	54.350000	50.070000	
0.100000	1.521758	2.062141	57.036000	51.540000	
0.100000	1.435741	2.916391	59.056000	53.000000	
0.100000	1.362689	1.796223	60.870000	54.210000	
0.100000	1.301774	1.555648	62.450000	57.100000	
0.100000	1.242571	1.624322	64.060000	57.350000	
0.100000	1.187296	2.030186	65.240000	58.450000	
0.100000	1.138971	1.555679	66.694000	57.900000	
0.100000	1.101828	1.608043	67.446000	57.690000	
0.100000	1.054089	1.742396	68.894000	58.310000	
0.100000	1.030055	1.481197	69.302000	60.030000	
0.100000	0.998104	1.708589	70.138000	61.630000	
0.100000	0.974296	1.483260	71.148000	61.800000	
0.100000	0.939808	1.486446	71.820000	60.530000	
0.100000	0.923072	1.657628	72.336000	59.540000	
0.100000	0.900038	1.458604	72.930000	61.020000	
0.100000	0.886302	1.434153	73.204000	62.610000	
0.100000	0.867777	1.440493	73.714000	61.860000	
0.100000	0.849025	1.504820	74.286000	60.440000	
0.100000	0.820330	1.472653	74.968000	61.850000	
0.100000	0.821149	1.475442	74.894000	61.260000	
0.100000	0.800361	1.544925	75.720000	60.600000	
0.100000	0.783498	1.592183	76.054000	60.090000	
0.100000	0.770322	1.490241	76.204000	61.680000	
0.100000	0.759818	1.387225	76.664000	63.890000	
0.100000	0.746538	1.450839	77.206000	62.280000	
0.100000	0.737494	1.743319	77.328000	58.110000	
0.100000	0.728848	1.378876	77.774000	64.250000	
0.100000	0.714040	1.389951	77.958000	64.100000	
0.100000	0.707600	1.600250	78.184000	60.060000	
0.100000	0.700057	1.541070	78.332000	61.670000	
0.100000	0.686931	1.466601	78.804000	62.790000	
0.100000	0.687156	1.392166	78.506000	64.240000	
0.100000	0.671380	1.411496	79.248000	63.430000	
0.100000	0.654478	1.617829	79.716000	61.100000	
0.100000	0.656519	1.403843	79.448000	64.290000	
0.100000	0.649650	1.446138	79.568000	63.410000	
0.100000	0.638952	1.519712	80.040000	63.040000	
0.100000	0.639744	1.451101	79.960000	63.330000	
0.100000	0.632408	1.470644	80.214000	63.480000	
0.100000	0.621609	1.378101	80.594000	65.500000	
0.100000	0.622339	1.337053	80.624000	65.900000	
0.100000	0.604776	1.374044	81.012000	65.800000	
0.100000	0.599726	1.646697	81.346000	62.130000	
0.100000	0.608314	1.485535	81.018000	63.060000	
0.100000	0.584137	1.502692	81.658000	62.350000	
0.100000	0.593532	1.432924	81.314000	64.500000	
0.100000	0.583648	1.380091	81.674000	64.830000	
0.100000	0.581326	1.379903	81.742000	65.300000	
0.100000	0.570818	1.320906	82.060000	67.100000	
0.100000	0.565600	1.496541	82.020000	62.920000	
0.100000	0.557307	1.358776	82.424000	66.010000	
0.100000	0.556073	1.521947	82.530000	63.680000	
0.100000	0.559806	1.544413	82.424000	64.030000	
0.100000	0.545425	1.499611	82.842000	63.540000	
0.100000	0.545320	1.677286	82.802000	61.960000	
0.100000	0.546725	1.476908	82.432000	64.330000	
0.100000	0.537200	1.728463	83.132000	61.290000	
0.100000	0.534556	1.629648	83.050000	62.300000	
0.100000	0.527194	1.524123	83.254000	62.730000	
0.100000	0.530761	1.430562	83.230000	65.190000	
0.100000	0.526876	1.547419	83.076000	63.810000	
0.100000	0.516616	1.428990	83.684000	65.220000	
0.100000	0.520105	1.625662	83.526000	63.550000	
0.100000	0.519252	1.482059	83.472000	64.290000	
0.100000	0.516639	1.332746	83.604000	66.630000	
0.100000	0.506993	1.377026	83.968000	65.670000	
0.100000	0.497308	1.513870	84.198000	64.530000	
0.100000	0.496907	1.421659	84.296000	65.850000	
0.100000	0.502856	1.488321	83.960000	64.750000	
0.100000	0.495255	1.654812	84.214000	62.590000	
0.010000	0.249191	1.000893	92.728000	74.150000	
