Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.624686	4.512119	1.498000	3.860000	
0.100000	4.043705	3.787172	6.750000	10.700000	
0.100000	3.604565	3.409045	13.656000	17.060000	
0.100000	3.236128	3.148000	20.264000	23.310000	
0.100000	2.907019	2.969425	26.520000	27.030000	
0.100000	2.573274	3.223818	33.040000	30.250000	
0.100000	2.313327	2.665544	38.646000	39.490000	
0.100000	2.100499	2.428388	43.048000	40.290000	
0.100000	1.938599	2.329304	46.904000	45.630000	
0.100000	1.802825	2.026670	49.966000	47.200000	
0.100000	1.687965	1.910906	52.806000	48.350000	
0.100000	1.687915	1.910209	52.622000	48.980000	
0.100000	1.537334	1.693175	56.262000	52.910000	
0.100000	1.452105	1.791868	58.286000	52.040000	
0.100000	1.384201	1.746546	60.284000	53.160000	
0.100000	1.323983	1.591903	61.524000	55.610000	
0.100000	1.262874	1.517472	63.252000	57.710000	
0.100000	1.222291	1.571026	64.100000	57.040000	
0.100000	1.171691	1.490761	65.730000	58.380000	
0.100000	1.142376	1.485812	66.300000	58.760000	
0.100000	1.105292	1.499193	67.296000	58.930000	
0.100000	1.071738	1.588544	68.074000	56.790000	
0.100000	1.045961	1.513933	68.732000	58.400000	
0.100000	1.020361	1.459464	69.488000	61.030000	
0.100000	0.989927	1.625063	70.350000	57.150000	
0.100000	0.968013	1.420397	70.910000	61.850000	
0.100000	0.945017	1.401424	71.558000	61.540000	
0.100000	0.935121	1.445433	71.850000	60.610000	
0.100000	0.903066	1.305488	72.652000	63.900000	
0.100000	0.888132	1.515073	73.094000	59.770000	
0.100000	0.866138	1.366884	73.768000	62.960000	
0.100000	0.855671	1.392751	74.040000	61.550000	
0.100000	0.835596	1.348582	74.502000	62.470000	
0.100000	0.822953	1.539261	74.848000	59.820000	
0.100000	0.813797	1.400019	75.012000	63.240000	
0.100000	0.792198	1.537893	75.506000	60.200000	
0.100000	0.779740	1.435219	75.914000	61.210000	
0.100000	0.778108	1.317971	76.156000	64.300000	
0.100000	0.764000	1.457524	76.440000	62.010000	
0.100000	0.746957	1.468964	76.932000	61.690000	
0.100000	0.740631	1.498072	77.138000	61.790000	
0.100000	0.729292	1.330736	77.420000	64.910000	
0.100000	0.727256	1.253034	77.320000	65.470000	
0.100000	0.703310	1.386233	78.206000	63.220000	
0.100000	0.698759	1.316889	78.310000	64.470000	
0.100000	0.690839	1.421786	78.434000	62.530000	
0.100000	0.680228	1.356737	78.898000	63.930000	
0.100000	0.675382	1.366898	78.912000	64.050000	
0.100000	0.667760	1.465403	79.394000	61.750000	
0.100000	0.662970	1.415275	79.338000	62.770000	
0.100000	0.642666	1.385468	79.792000	64.090000	
0.100000	0.644149	1.482483	79.818000	62.290000	
0.100000	0.633312	1.413286	80.108000	63.370000	
0.100000	0.631070	1.392447	80.298000	64.390000	
0.100000	0.627033	1.445696	80.350000	64.290000	
0.100000	0.623712	1.305577	80.268000	65.630000	
0.100000	0.614558	1.390487	80.732000	63.720000	
0.100000	0.596578	1.432803	81.284000	63.580000	
0.100000	0.604743	1.401553	81.006000	63.830000	
0.100000	0.590013	1.435671	81.384000	63.900000	
0.100000	0.594158	1.453437	81.160000	63.300000	
0.100000	0.588133	1.433801	81.404000	63.920000	
0.100000	0.580244	1.382384	81.568000	64.630000	
0.100000	0.569060	1.538596	82.052000	62.960000	
0.100000	0.570967	1.430594	81.902000	63.150000	
0.100000	0.561742	1.460553	82.244000	63.840000	
0.100000	0.555820	1.385008	82.292000	64.820000	
0.100000	0.552787	1.384771	82.556000	65.060000	
0.100000	0.547187	1.376088	82.580000	65.120000	
0.100000	0.546482	1.356355	82.598000	64.610000	
0.100000	0.536156	1.377577	82.778000	65.680000	
0.100000	0.537571	1.429008	82.984000	64.400000	
0.100000	0.546529	1.552554	82.394000	61.970000	
0.100000	0.523526	1.394941	83.328000	65.370000	
0.100000	0.540307	1.428034	82.802000	64.510000	
0.100000	0.523034	1.498526	83.396000	63.020000	
0.100000	0.514317	1.478852	83.570000	63.570000	
0.100000	0.506203	1.378268	83.878000	65.220000	
0.100000	0.526386	1.374263	82.954000	65.520000	
0.100000	0.503201	1.404415	83.846000	65.330000	
0.100000	0.508776	1.587408	83.956000	61.890000	
0.010000	0.260443	0.959362	92.420000	74.450000	
0.010000	0.177882	0.963453	95.182000	74.650000	
0.010000	0.151222	0.970761	95.994000	74.630000	
0.010000	0.135832	0.982429	96.508000	74.790000	
0.010000	0.120911	0.992091	96.980000	74.950000	
0.010000	0.109891	1.002029	97.406000	74.840000	
0.010000	0.101144	1.008100	97.578000	74.920000	
0.010000	0.094695	1.025169	97.800000	75.030000	
0.010000	0.087640	1.034556	98.020000	74.670000	
0.010000	0.083111	1.037802	98.118000	74.730000	
0.010000	0.080017	1.042700	98.210000	74.880000	
0.010000	0.073016	1.051451	98.400000	74.910000	
0.010000	0.069296	1.060948	98.522000	74.930000	
0.010000	0.064858	1.064498	98.770000	74.680000	
0.010000	0.063165	1.075020	98.794000	74.760000	
0.010000	0.058577	1.080608	98.928000	74.940000	
0.010000	0.058366	1.083093	98.854000	74.960000	
0.010000	0.054922	1.087819	99.010000	74.970000	
0.010000	0.052188	1.090914	99.096000	74.740000	
0.010000	0.049507	1.106870	99.110000	74.890000	
0.010000	0.047450	1.110795	99.158000	74.470000	
0.010000	0.045950	1.113003	99.220000	74.680000	
0.010000	0.044627	1.112109	99.214000	74.700000	
0.010000	0.043453	1.116326	99.296000	74.460000	
0.010000	0.042442	1.122221	99.348000	74.400000	
0.010000	0.040141	1.130918	99.366000	74.350000	
0.010000	0.038560	1.122363	99.362000	74.510000	
0.010000	0.036915	1.128546	99.450000	74.380000	
0.010000	0.035793	1.135684	99.506000	74.510000	
0.010000	0.036357	1.134195	99.436000	74.650000	
0.010000	0.034812	1.139604	99.538000	74.690000	
0.010000	0.032651	1.144319	99.564000	74.270000	
0.010000	0.031906	1.148054	99.594000	74.540000	
0.010000	0.031812	1.152250	99.580000	74.490000	
0.010000	0.030891	1.147321	99.560000	74.550000	
0.010000	0.030433	1.158395	99.592000	74.800000	
0.010000	0.028263	1.156663	99.688000	74.290000	
0.010000	0.029045	1.156280	99.622000	74.420000	
0.010000	0.027476	1.164438	99.682000	74.180000	
0.010000	0.027165	1.169892	99.684000	74.380000	
0.010000	0.025686	1.174336	99.734000	73.980000	
0.001000	0.023889	1.170053	99.752000	74.400000	
0.001000	0.023008	1.159682	99.782000	74.500000	
0.001000	0.022992	1.159210	99.776000	74.470000	
0.001000	0.022406	1.162528	99.784000	74.600000	
0.001000	0.022253	1.161689	99.792000	74.540000	
0.001000	0.022160	1.157654	99.784000	74.520000	
0.001000	0.022195	1.160871	99.782000	74.500000	
0.001000	0.021721	1.164101	99.816000	74.540000	
0.001000	0.021899	1.156994	99.800000	74.630000	
0.001000	0.021686	1.160851	99.812000	74.580000	
0.001000	0.021011	1.163552	99.822000	74.520000	
0.001000	0.020938	1.158633	99.852000	74.460000	
0.001000	0.021251	1.160681	99.814000	74.550000	
0.001000	0.020515	1.163471	99.860000	74.460000	
0.001000	0.020338	1.167648	99.842000	74.590000	
0.001000	0.020481	1.162501	99.812000	74.590000	
0.001000	0.020654	1.162660	99.852000	74.660000	
0.001000	0.021034	1.164772	99.794000	74.610000	
0.001000	0.020643	1.163564	99.834000	74.600000	
0.001000	0.020355	1.164351	99.816000	74.670000	
0.001000	0.020676	1.163197	99.816000	74.590000	
0.001000	0.020528	1.164222	99.834000	74.660000	
