Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.707213	4.503026	1.240000	1.820000	
0.100000	4.370588	4.293462	2.828000	3.640000	
0.100000	4.214368	4.192003	4.136000	4.630000	
0.100000	4.062169	4.075186	5.832000	6.280000	
0.100000	3.936024	3.997180	7.688000	8.580000	
0.100000	3.763283	3.759991	10.412000	10.990000	
0.100000	3.516180	3.466121	14.780000	16.210000	
0.100000	3.250596	3.152526	19.236000	21.640000	
0.100000	2.994437	3.273761	24.106000	25.580000	
0.100000	2.753710	2.722662	29.144000	31.460000	
0.100000	2.552018	2.839817	33.124000	31.350000	
0.100000	2.369889	2.576014	36.820000	35.980000	
0.100000	2.223906	3.108427	40.158000	40.310000	
0.100000	2.074878	2.428103	43.272000	42.450000	
0.100000	1.949689	2.644702	46.542000	47.110000	
0.100000	1.837435	2.286364	49.174000	45.020000	
0.100000	1.757752	2.076138	51.106000	48.600000	
0.100000	1.659310	5.115852	53.460000	49.100000	
0.100000	1.590585	2.184424	55.058000	52.630000	
0.100000	1.512272	2.185413	57.218000	52.830000	
0.100000	1.456648	3.212286	58.574000	52.670000	
0.100000	1.407250	3.941945	59.710000	53.860000	
0.100000	1.354919	3.376327	60.958000	53.960000	
0.100000	1.292409	2.020640	62.496000	56.730000	
0.100000	1.256894	1.931294	63.664000	56.870000	
0.100000	1.215338	1.901090	64.620000	55.760000	
0.100000	1.185211	2.508709	65.488000	57.620000	
0.100000	1.148028	1.558266	66.172000	59.110000	
0.100000	1.125062	2.071984	66.842000	57.610000	
0.100000	1.089991	2.366648	67.684000	57.950000	
0.100000	1.064205	1.801456	68.452000	57.740000	
0.100000	1.044441	2.016912	69.014000	55.690000	
0.100000	1.006716	2.708529	70.104000	57.840000	
0.100000	0.987962	1.512535	70.418000	60.790000	
0.100000	0.969979	2.195565	70.930000	59.620000	
0.100000	0.949380	1.776585	71.494000	59.590000	
0.100000	0.931301	1.546580	71.762000	60.750000	
0.100000	0.918078	1.740657	72.418000	59.010000	
0.100000	0.890660	1.581196	73.190000	60.520000	
0.100000	0.880217	1.824241	73.378000	58.390000	
0.100000	0.856935	1.694479	73.842000	60.750000	
0.100000	0.847189	1.702597	74.164000	60.500000	
0.100000	0.834366	1.498467	74.512000	61.490000	
0.100000	0.819740	1.749880	74.910000	60.650000	
0.100000	0.803467	2.315226	75.246000	61.070000	
0.100000	0.792955	1.532162	75.940000	61.540000	
0.100000	0.768664	1.490302	76.518000	62.110000	
0.100000	0.768964	1.650738	76.338000	59.620000	
0.100000	0.758494	1.413162	76.718000	62.870000	
0.100000	0.741668	1.719375	77.134000	59.030000	
0.100000	0.729525	1.413649	77.306000	63.630000	
0.100000	0.713186	1.363016	77.994000	64.470000	
0.100000	0.707794	1.554830	77.934000	60.730000	
0.100000	0.703119	1.436081	78.122000	63.140000	
0.100000	0.684602	1.617745	78.674000	61.430000	
0.100000	0.683433	1.454600	78.620000	63.190000	
0.100000	0.681262	1.552738	78.820000	61.550000	
0.100000	0.668746	1.606315	79.250000	60.800000	
0.100000	0.655625	1.587501	79.516000	61.860000	
0.100000	0.649619	1.474499	79.632000	63.430000	
0.100000	0.644376	1.471794	79.902000	62.670000	
0.100000	0.640033	1.645784	79.918000	62.280000	
0.100000	0.617848	1.541664	80.682000	62.850000	
0.100000	0.616932	1.537317	80.476000	62.590000	
0.100000	0.613887	1.502782	80.582000	63.830000	
0.100000	0.608653	1.485715	80.942000	63.790000	
0.100000	0.599515	1.535430	81.228000	63.220000	
0.100000	0.589906	1.457481	81.454000	63.980000	
0.100000	0.593594	1.524216	81.326000	63.530000	
0.100000	0.585305	1.692281	81.658000	60.410000	
0.100000	0.578588	1.620757	81.668000	61.470000	
0.100000	0.564600	1.522422	82.312000	63.440000	
0.100000	0.570150	1.634836	82.058000	62.580000	
0.100000	0.567898	1.484063	82.238000	63.290000	
0.100000	0.562389	1.508158	82.182000	63.940000	
0.100000	0.545675	1.484405	82.732000	63.960000	
0.100000	0.540586	1.773280	82.886000	60.070000	
0.100000	0.544808	1.623251	82.848000	62.380000	
0.100000	0.531144	1.672727	83.204000	60.530000	
0.100000	0.542554	1.495159	82.810000	64.060000	
0.100000	0.530351	1.510386	83.032000	64.690000	
0.010000	0.275696	1.043430	92.024000	73.710000	
0.010000	0.192646	1.048369	94.654000	73.920000	
0.010000	0.159975	1.061147	95.660000	74.100000	
0.010000	0.142480	1.086181	96.224000	73.720000	
0.010000	0.127246	1.096316	96.702000	73.970000	
0.010000	0.117639	1.110993	97.036000	73.910000	
0.010000	0.106108	1.126562	97.390000	73.980000	
0.010000	0.099260	1.144979	97.546000	73.730000	
0.010000	0.089169	1.151699	97.948000	73.690000	
0.010000	0.084958	1.164836	98.088000	73.760000	
0.010000	0.079802	1.164252	98.268000	73.880000	
0.010000	0.076550	1.180599	98.326000	73.910000	
0.010000	0.071501	1.194118	98.466000	73.820000	
0.010000	0.067890	1.209968	98.562000	73.730000	
0.010000	0.063145	1.222338	98.678000	73.510000	
0.010000	0.061101	1.227372	98.756000	73.560000	
0.010000	0.059144	1.236516	98.850000	73.710000	
0.010000	0.055928	1.241767	98.912000	73.530000	
0.010000	0.052632	1.259861	99.000000	73.800000	
0.010000	0.049786	1.260766	99.076000	73.370000	
0.010000	0.048009	1.271133	99.134000	73.480000	
0.010000	0.045701	1.282321	99.178000	73.800000	
0.010000	0.044293	1.296204	99.246000	73.550000	
0.010000	0.042943	1.292363	99.246000	73.690000	
0.010000	0.040588	1.287264	99.322000	73.660000	
0.010000	0.039426	1.302163	99.298000	73.470000	
0.010000	0.039232	1.314305	99.360000	73.500000	
0.010000	0.037235	1.315637	99.392000	73.470000	
0.010000	0.035676	1.317995	99.436000	73.390000	
0.010000	0.035240	1.312815	99.484000	73.590000	
0.010000	0.033659	1.317834	99.508000	73.390000	
0.010000	0.033830	1.323792	99.490000	73.080000	
0.010000	0.032338	1.324100	99.520000	73.210000	
0.010000	0.030725	1.329843	99.596000	73.410000	
0.010000	0.031007	1.331447	99.552000	73.190000	
0.010000	0.030284	1.328792	99.592000	73.250000	
0.010000	0.028509	1.335712	99.654000	73.160000	
0.010000	0.027704	1.338835	99.632000	73.250000	
0.010000	0.028294	1.347455	99.614000	73.090000	
0.010000	0.027613	1.345716	99.604000	72.910000	
0.010000	0.026356	1.346278	99.638000	73.320000	
0.001000	0.024034	1.336653	99.738000	73.220000	
0.001000	0.022639	1.341216	99.760000	73.420000	
0.001000	0.022278	1.340163	99.776000	73.240000	
0.001000	0.021601	1.334486	99.774000	73.450000	
0.001000	0.021667	1.335864	99.762000	73.340000	
0.001000	0.021361	1.337182	99.800000	73.290000	
0.001000	0.021537	1.336035	99.770000	73.410000	
0.001000	0.020690	1.334498	99.802000	73.400000	
0.001000	0.021605	1.342790	99.792000	73.430000	
0.001000	0.020432	1.334625	99.826000	73.570000	
0.001000	0.019907	1.341110	99.840000	73.540000	
0.001000	0.020929	1.341407	99.800000	73.630000	
0.001000	0.020873	1.340650	99.798000	73.500000	
0.001000	0.020286	1.333687	99.826000	73.630000	
0.001000	0.020258	1.338233	99.798000	73.380000	
0.001000	0.020192	1.340225	99.804000	73.720000	
0.001000	0.020382	1.337904	99.796000	73.600000	
0.001000	0.019810	1.337059	99.848000	73.740000	
0.001000	0.019533	1.340927	99.814000	73.630000	
0.001000	0.019482	1.344091	99.814000	73.590000	
0.001000	0.020046	1.342322	99.786000	73.630000	
0.001000	0.019361	1.340594	99.844000	73.570000	
0.001000	0.019778	1.334794	99.814000	73.550000	
0.001000	0.019365	1.344437	99.806000	73.460000	
0.001000	0.019438	1.339285	99.838000	73.600000	
0.001000	0.019222	1.338162	99.810000	73.590000	
0.001000	0.019275	1.338430	99.834000	73.750000	
0.001000	0.018966	1.342833	99.840000	73.530000	
0.001000	0.019028	1.351153	99.846000	73.510000	
0.001000	0.018958	1.346306	99.814000	73.480000	
0.001000	0.018815	1.349561	99.836000	73.590000	
0.001000	0.019118	1.342714	99.840000	73.440000	
0.001000	0.018576	1.345009	99.858000	73.530000	
0.001000	0.019052	1.346284	99.826000	73.630000	
0.001000	0.018688	1.348206	99.812000	73.560000	
0.001000	0.018277	1.343777	99.844000	73.700000	
0.001000	0.018948	1.346799	99.816000	73.680000	
0.001000	0.018871	1.342384	99.824000	73.480000	
0.001000	0.018326	1.345061	99.830000	73.520000	
0.001000	0.018167	1.347069	99.862000	73.550000	
0.001000	0.017650	1.348119	99.874000	73.570000	
0.001000	0.018789	1.351519	99.828000	73.540000	
